epoch,plain,warmup
0,0.352567,0.852364
1,0.345682,0.847110
2,0.359680,0.846871
3,0.353689,0.835314
4,0.359388,0.824661
5,0.361936,0.826615
6,0.392362,0.810159
7,0.408262,0.809068
8,0.409626,0.805226
9,0.419201,0.804436
10,0.409508,0.812206
11,0.392748,0.820391
12,0.432617,0.809712
13,0.461438,0.817718
14,0.452196,0.817350
15,0.475367,0.786714
16,0.492926,0.772468
17,0.512095,0.751568
18,0.532843,0.745589
19,0.546359,0.749760
20,0.565382,0.747428
21,0.594134,0.734556
22,0.601287,0.741066
23,0.615459,0.718014
24,0.627607,0.714599
25,0.632551,0.719265
26,0.642247,0.720386
27,0.651039,0.709089
28,0.638551,0.692104
29,0.644557,0.694680
30,0.657408,0.680189
31,0.657359,0.687304
32,0.647508,0.690973
33,0.665428,0.700554
34,0.666262,0.689693
35,0.677895,0.693464
36,0.684669,0.685203
37,0.691508,0.683241
38,0.696457,0.693178
39,0.698995,0.699222
40,0.700964,0.704924
41,0.708359,0.716498
42,0.714347,0.714786
43,0.714389,0.715993
44,0.719532,0.715879
45,0.723017,0.709300
46,0.730944,0.649483
47,0.733704,0.651519
48,0.714067,0.651098
49,0.712608,0.659958
50,0.721085,0.655179
51,0.718323,0.657639
52,0.731783,0.665117
53,0.742514,0.666403
54,0.741299,0.675156
55,0.739158,0.672219
56,0.736813,0.679914
57,0.732334,0.684682
58,0.744066,0.685197
59,0.724608,0.694119
60,0.731380,0.690594
61,0.740128,0.682742
62,0.747662,0.667040
63,0.752545,0.674022
64,0.752427,0.685319
65,0.744442,0.689503
66,0.746309,0.697174
67,0.744738,0.698454
68,0.741917,0.705904
69,0.742430,0.707003
70,0.743999,0.709140
71,0.752404,0.713400
72,0.754088,0.727970
73,0.755616,0.733200
74,0.748449,0.741350
75,0.748945,0.737854
76,0.752410,0.745832
77,0.761525,0.744002
78,0.754448,0.749825
79,0.762025,0.756031
80,0.768885,0.757478
81,0.777985,0.756169
82,0.783887,0.752856
83,0.785324,0.754713
84,0.777523,0.761327
85,0.775757,0.767366
86,0.767814,0.765264
87,0.770968,0.776391
88,0.754280,0.774207
89,0.754279,0.773624
90,0.760422,0.772165
91,0.762685,0.772723
92,0.770774,0.782813
93,0.774773,0.778527
94,0.780303,0.792049
95,0.775511,0.791403
96,0.781236,0.778635
97,0.785103,0.785583
98,0.782484,0.784674
99,0.790020,0.793181
100,0.784132,0.799562
101,0.780490,0.795783
102,0.782611,0.788564
103,0.791564,0.790751
104,0.786731,0.773954
105,0.789888,0.769599
106,0.791530,0.773731
107,0.795682,0.775092
108,0.803650,0.787165
109,0.777929,0.782519
110,0.771163,0.792604
111,0.766435,0.789508
112,0.767899,0.784826
113,0.763592,0.770393
114,0.767780,0.760099
115,0.776978,0.768370
116,0.785992,0.775140
117,0.784889,0.765511
118,0.792104,0.768376
119,0.797936,0.764829
120,0.792885,0.775274
121,0.795168,0.782908
122,0.785915,0.783228
123,0.787663,0.785557
124,0.794022,0.796955
125,0.790572,0.799023
126,0.789542,0.806578
127,0.800413,0.810171
128,0.801716,0.810559
129,0.796266,0.796024
130,0.793481,0.796657
131,0.790916,0.809228
132,0.794836,0.807248
133,0.784633,0.805928
134,0.791946,0.815630
135,0.794534,0.812779
136,0.796584,0.814103
137,0.801193,0.816398
138,0.801406,0.817191
139,0.796918,0.817073
140,0.792621,0.807495
141,0.801190,0.810827
142,0.798305,0.796044
143,0.786693,0.800101
144,0.797148,0.806294
145,0.804963,0.805126
146,0.791780,0.807010
147,0.797877,0.808123
148,0.801447,0.806151
149,0.789206,0.789854
150,0.779952,0.788710
151,0.792244,0.785797
152,0.791145,0.783377
153,0.792029,0.794144
154,0.794250,0.788605
155,0.787379,0.787832
156,0.793678,0.796629
157,0.789445,0.800795
158,0.793290,0.804267
159,0.798408,0.814312
160,0.803223,0.816985
161,0.796327,0.824588
162,0.789484,0.823320
163,0.794817,0.816201
164,0.805077,0.813105
165,0.808501,0.821499
166,0.807877,0.826320
167,0.811170,0.826959
168,0.805073,0.827646
169,0.802843,0.827374
170,0.805358,0.820739
171,0.800102,0.818214
172,0.795613,0.824775
173,0.799660,0.816917
174,0.807486,0.812935
175,0.812945,0.812556
176,0.813046,0.810885
177,0.810993,0.805828
178,0.819492,0.810044
179,0.815606,0.812524
180,0.812357,0.821682
181,0.814964,0.811731
182,0.813675,0.819965
183,0.799599,0.826966
184,0.806118,0.826521
185,0.810433,0.829360
186,0.817068,0.829871
187,0.803413,0.824821
188,0.785337,0.833416
189,0.793656,0.831436
190,0.797841,0.834499
191,0.803287,0.830282
192,0.808963,0.834217
193,0.781165,0.838097
194,0.785082,0.841225
195,0.794762,0.827306
196,0.801372,0.828097
197,0.807068,0.830126
198,0.817895,0.805729
199,0.818588,0.806805
200,0.813858,0.807606
201,0.817210,0.801675
202,0.821093,0.805717
203,0.816462,0.812971
204,0.812063,0.816891
205,0.817115,0.818945
206,0.820368,0.812875
207,0.823254,0.817133
208,0.827581,0.808140
209,0.832368,0.804290
210,0.827669,0.805712
211,0.814677,0.812073
212,0.808903,0.809900
213,0.812960,0.803963
214,0.807621,0.806400
215,0.792546,0.809072
216,0.790759,0.802523
217,0.799322,0.798715
218,0.797437,0.793967
219,0.798138,0.796561
220,0.804989,0.797729
221,0.803760,0.797734
222,0.785594,0.795636
223,0.783093,0.802499
224,0.791676,0.803950
225,0.791387,0.809803
226,0.782840,0.813397
227,0.792623,0.825049
228,0.801599,0.832528
229,0.803752,0.826949
230,0.795784,0.830234
231,0.805674,0.821656
232,0.815621,0.824775
233,0.805694,0.828559
234,0.801232,0.826312
235,0.796497,0.824344
236,0.807992,0.821659
237,0.796962,0.812367
238,0.779009,0.808096
239,0.785483,0.810325
240,0.792135,0.803269
241,0.793470,0.804462
242,0.802501,0.815712
243,0.808481,0.817689
244,0.799772,0.823151
245,0.795298,0.827881
246,0.802620,0.822946
247,0.811006,0.822519
248,0.808962,0.826628
249,0.809266,0.830118
250,0.816482,0.827482
251,0.825745,0.827106
252,0.819890,0.826517
253,0.821373,0.817370
254,0.817350,0.811848
255,0.823497,0.817029
256,0.826108,0.811421
257,0.823971,0.820948
258,0.830538,0.828099
259,0.837000,0.832881
260,0.829007,0.821834
261,0.832290,0.827009
262,0.835980,0.821600
263,0.828142,0.821874
264,0.824537,0.825388
265,0.815240,0.805064
266,0.795436,0.809086
267,0.795446,0.810099
268,0.799950,0.814245
269,0.788224,0.814328
270,0.787256,0.816190
